kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	QRS POLIS SEK 15	41	32		8	1		1	32			9	32					9
2	QRS BOMBA SEK 15	180	166	2	11	1		1	166		2	12	166				2	12
3	SEK 15	165	110	14	36	5	4	1	114		14	37	110	2			14	39
4	SEK 16	1220	794	134	287	5	1	4	793	2	134	291	794				134	292
401	BN 2 REJIMEN 502	29	27		1	1	1		27	1		1	27					2
701	BALAI POLIS SEK 15	116	97	1	6	12	12		102	7	1	6	97	4		1	1	13
