kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	TELAGA	954	81	5		868	714	154	653	142	5	154	81	2			5	866
2	KALUMPANG	1770	84	18	11	1657	1642	15	1187	539	18	26	84	3			18	1665
3	SALIMPODON	1570	67	23		1480	1472	8	450	1089	23	8	67	5			23	1475
4	PITAS	1463	68	22	1	1372	1333	39	978	423	22	40	68	6			22	1367
5	KEBATASAN	1891	103	17	6	1765	1744	21	776	1071	17	27	103		2		17	1769
6	PENAPAK	1091	59	2		1030	1026	4	159	926	2	4	59				2	1030
7	LIU	539	12	2		525	524	1	26	510	2	1	12	1			2	524
8	MALUBANG	460	33		3	424	364	60	352	45		63	33					427
9	ROSOB	983	163	12		808	782	26	574	371	12	26	163				12	808
10	PINGGAN-PINGGAN	1323	210	18	4	1091	1053	38	1001	262	18	42	210	9			18	1086
11	DANDUN	1642	55	15	1	1571	1565	6	397	1223	15	7	55	12	1	2	15	1557
12	SENAJA	937	57	2		878	864	14	754	167	2	14	57	1			2	877
13	SUNGAI ELOI	1279	30	12	1	1236	1219	17	193	1056	12	18	30	18			12	1219
14	PANDAN	867	41	7	2	817	812	5	174	679	7	7	41				7	819
15	SANITAN	500	16	2		482	481	1	57	440	2	1	16				2	482
