kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BUKIT PETITI	1303	1300	1		2		2	1298	2	1	2	1300				1	2
2	BANGGUL PERADUNG	3027	3019	2	1	5	1	4	3015	5	2	5	3019	1			2	5
3	KEBUR BESAR	1948	1943	1	1	3	1	2	1941	3	1	3	1943				1	4
4	KEBUR AIR	1554	1553		1	0			1551	2		1	1553					1
5	JERAM	2778	2767	1	2	8	4	4	2765	6	1	6	2770	1			1	6
6	PETAI BUBUS	4401	4056	328	3	14	7	7	4059	4	328	10	4057				328	16
7	TELUK PASU	3492	3483	6	1	2	2		3479	6	6	1	3483				6	3
8	TANJUNG BUNUT	735	729			6	2	4	730	1		4	730					5
9	KESUM	1731	1731			0			1725	6			1731					
10	BULUH GADING	1559	1547		1	11		11	1544	3		12	1547					12
