kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JALAN LAYANG LAYANG	16	5	4	7	0			5		4	7	5				4	7
2	JALAN STATION	435	6	403	26	0			6		403	26	6				403	26
3	KAMPONG BAHRU	358	9	347	2	0			9		347	2	9				347	2
4	JLN. TECK WAH HENG	106	4	98	4	0			4		98	4	4				98	4
5	JALAN SELAMAT	85		70	15	0					70	15					70	15
6	JALAN RUMAH RAKYAT	31	4	24	3	0			4		24	3	4				24	3
7	KG. MELAYU	238	187	42	6	3		3	185	2	42	9	187				42	9
8	JALAN MERDEKA	52		52		0					52						52	
9	JALAN SEKOLAH CINA	139	2	135	2	0			2		135	2	2				135	2
10	JALAN TENGAH	119	8	110	1	0			8		110	1	8				110	1
11	LADANG M.C.A.	10		10		0					10						10	
12	PUSAT KESIHATAN KECIL	7	6		1	0			6			1	6					1
13	TELEKOM QRTS	2			2	0						2						2
14	LORONG KELINIK	7		7		0					7						7	
15	JLN SEKOLAH KEBANGSAAN	16	4	9	3	0			4		9	3	4				9	3
16	KTM QRTS	17	15		2	0			15			2	15					2
17	JLN SRI LALANG	4	1	3		0			1		3		1				3	
18	PEKAN LAYANG-LAYANG	247	80	157	9	1		1	79	1	157	10	80				157	10
19	JALAN PEJABAT POS	130	19	90	21	0			19		90	21	19				90	21
20	JALAN RUMAH MURAH	106	33	60	11	2	2		33	2	60	11	33				60	13
21	JALAN BALAI RAYA	98	11	87		0			11		87		11				87	
22	JALAN BOLA KERANJANG	62	1	61		0			1		61		1				61	
23	JALAN RUMAH KEBAJIKAN	80	14	66		0			14		66		14				66	
24	JALAN KEMAJUAN	50	1	49		0			1		49		1				49	
25	JALAN HONG SENG KONG	38		38		0					38						38	
26	LORONG 1	123	1	122		0			1		122		1				122	
27	LORONG 2	52		52		0					52						52	
28	LORONG 3	39	1	38		0			1		38		1				38	
29	JLN TECK WAH HENG	81	9	63	9	0			9		63	9	9				63	9
30	BAREK POLIS	14	14			0			14				14					
31	PUSAT KESIHATAN KECIL	5	4	1		0			4		1		4				1	
32	JLN KEMBOJA	1	1			0			1				1					
33	JLN MAWAR 1	76	9	31	36	0			9		31	36	9				31	36
34	JLN MAWAR 10	11		3	8	0					3	8					3	8
35	JLN MAWAR 4	8	1	5	2	0			1		5	2	1				5	2
36	JLN MAWAR 11	34		11	23	0					11	23					11	23
37	JLN MAWAR 3	22	5	13	4	0			5		13	4	5				13	4
38	KG SATU	2	1	1		0			1		1		1				1	
39	JLNM MAWAR 2	26	5	10	11	0			5		10	11	5				10	11
40	JLN MAWAR 9	28		17	11	0					17	11					17	11
41	JLN MAWAR	20	7	2	11	0			7		2	11	7				2	11
42	TMN INDAH	16	3	12	1	0			3		12	1	3				12	1
43	JLN MAWAR 16 TMN SRI	71		1	70	0					1	70					1	70
701	BALAI POLIS LAYANG-LAYANG	22	19		2	1	1		20			2	19					3
