kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	CHANGKAT PETAI	38	38			0			38				38					
2	TANJONG KERAMAT	664	659	1	1	3	2	1	659	2	1	2	659	1			1	3
3	SUNGEI RAMBAI REDANG PONGGOR	23	22			1	1		22	1			22					1
4	SPG TIGA JLN TAPAH	36	36			0			36				36					
5	SPG KG SC TG KERAMAT	27	26	1		0			26		1		26				1	
6	KAMPONG SC REDANG PONGGOR	77	77			0			77				77					
7	FELCRA REDANG PONGGOR	20	20			0			20				20					
8	KG REDANG PONGGOR	15	15			0			15				15					
9	FELCRA KG BARU S/C	5	5			0			5				5					
10	KG BARU S/C TG KERAMAT	8	8			0			8				8					
11	KG SAIRI TANJONG KERAMAT	33	32		1	0			32			1	32					1
