kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KOMPLEKS SUKAN PANDAMARAN	1975	224	1410	326	15	11	4	232	3	1410	330	224				1410	341
2	KAWASAN SEKOLAH CINA 'B'	3239	186	2687	325	41	28	13	203	11	2687	338	187	6			2687	359
3	KAWASAN SEKOLAH CINA 'A'	4111	239	3449	397	26	21	5	253	7	3449	402	246	2			3449	414
4	PANDAMARAN	3137	51	2444	624	18	15	3	55	11	2444	627	51	7	2		2444	633
5	JALAN TENGKU BADAR UTARA	3194	318	1992	853	31	1	30	317	2	1992	883	319				1992	883
6	JALAN TENGKU BADAR SELATAN	326	42	229	48	7	4	3	46		229	51	43				229	54
7	JALAN KASTAM	2498	1107	965	405	21	3	18	1107	3	965	423	1107				965	426
8	TENGKU BENDAHARA AZMAN	2399	777	899	577	146	117	29	875	19	899	606	778	12			899	710
9	RAJA LUMU	2291	161	1732	365	33	25	8	173	13	1732	373	161	11	2		1732	385
10	SUNGAI AUR	2087	90	1586	399	12	4	8	90	4	1586	407	90	1	1		1586	409
11	TELUK PULAI UTARA	2314	311	1130	817	56	2	54	312	1	1130	871	311	1			1130	872
12	KAMPUNG ATTAP	1086	749	139	139	59	58	1	754	53	139	140	757	15	6	3	139	166
13	JALAN TENGKU KELANA	1140	86	732	317	5		5	84	2	732	322	86				732	322
14	BUKIT ISTANA	1570	337	829	398	6	2	4	336	3	829	402	337	1	1		829	402
15	SIMPANG TUJUH	2120	184	1196	684	56	9	47	189	4	1196	731	184		3		1196	737
16	TAMAN GEMBIRA 1	3775	319	2485	910	60	13	47	320	12	2485	957	319			1	2485	969
17	TAMAN SELATAN 1	2537	193	1571	728	45	7	38	197	3	1571	766	193	1		1	1571	771
18	TELUK GADUNG BESAR	2736	299	1955	453	29	15	14	306	8	1955	467	299			1	1955	481
19	TAMAN CHI LIUNG	3334	327	2188	763	56	21	35	340	8	2188	798	327	3	1	1	2188	814
20	TELUK PULAI SELATAN	1595	98	810	646	41	1	40	98	1	810	686	98	1			810	686
21	TAMAN SELATAN 2	2329	305	1247	740	37	5	32	308	2	1247	772	305				1247	777
22	TAMAN BAYU PERDANA	5363	991	3003	1153	216	154	62	1113	32	3003	1215	995	7	1	1	3003	1356
23	TAMAN GEMBIRA 2	2366	775	1179	380	32	8	24	779	4	1179	404	775	1			1179	411
