kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG JAWA	24	22		2	0			22			2	22					2
2	KG SENTOSA TG SEDILI	224	216	2	1	5	2	3	218		2	4	216	2			2	4
3	KG HUTAN LESONG	4	4			0			4				4					
4	KG SEGUNDAL	90	89			1		1	89			1	89					1
5	KG SEMPANG	35	35			0			35				35					
6	KG TELOK	84	81		1	2		2	81			3	81					3
7	KG SINGAPURA	147	147			0			147				147					
8	KG PADANG	122	118		1	3	1	2	118	1		3	119					3
9	KG TANAH PUTEH	153	152			1	1		152	1			152					1
