kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BETING LUAS LUMUT	83	81	1	1	0			81		1	1	81				1	1
2	KAMPONG LUBOK PUSING	92	89		3	0			89			3	89					3
3	ONG CHIN SEONG ESTATE	61	1	4	56	0			1		4	56	1				4	56
4	ONG LAI ESTATE	89		40	49	0					40	49					40	49
5	RYCROFT ESTATE	38		5	33	0					5	33					5	33
6	SOGOMANA ESTATE LUMUT	241	31	2	208	0			31		2	208	31				2	208
7	KG. GUNONG TUNGGAL	224	111	48	65	0			111		48	65	111				48	65
8	TAMAN SINAR	16	2	7	7	0			2		7	7	2				7	7
9	BELAKANG KELINIK	41	33		8	0			33			8	33					8
10	NEW VILLAGE C KRUING	686	1	654	31	0			1		654	31	1				654	31
11	CHANGKAT KRUING	640	26	475	139	0			26		475	139	26				475	139
12	KG BARU	556	6	530	20	0			6		530	20	6				530	20
13	TAMAN TECK SING	164		113	51	0					113	51					113	51
14	TAMAN DESA KERUING	142	24	77	41	0			24		77	41	24				77	41
15	TAMAN BERLIAN	65		49	16	0					49	16					49	16
16	JALAN PANTAI REMIS	28	9	3	16	0			9		3	16	9				3	16
17	TMN KAH CHUAN	2		2		0					2						2	
18	TMN INTAN CHANGKAT KERUING	12		12		0					12						12	
19	TMN BERLIAN 2	11		9	2	0					9	2					9	2
20	TMN INTAN 2	4		4		0					4						4	
