kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JALAN HABIB ALI	75	75			0			75				75					
2	JALAN HAJI MAHMOOD	69	67	2		0			67		2		67				2	
3	JALAN RAJA ARIF SHAH	58	56		2	0			56			2	56					2
4	LAHAT AVENUE	26	2	14	10	0			2		14	10	2				14	10
5	LAHAT DRIVE	22	1	12	9	0			1		12	9	1				12	9
6	LAHAT LANE	232	29	105	96	2	1	1	29	1	105	97	29				105	98
7	LAHAT ROAD	59	4	38	16	1		1	4		38	17	4				38	17
8	PASAR MINGGU	3	2	1		0			2		1		2				1	
9	P W D QRS	75	27	3	44	1	1		28		3	44	27				3	45
10	JLN. TEONG YEW KOH	25	4	16	4	1	1		5		16	4	4				16	5
