kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	TELOK SAREH	691	684	2	1	4	4		685	3	2	1	686				2	3
2	SUNGAI GALAH	1627	1274	28	91	234	234		1313	195	28	91	1274	1			28	324
3	CHENDERONG KELUBI	608	52	4	2	550	550		83	519	4	2	52	4			4	548
4	CHANGKAT PINGGAN	488	485		1	2		2	484	1		3	485					3
5	KAMPONG BALUN BIDAI	644	643			1	1		644				643					1
6	KAMPONG SETIA	1231	1224	1	1	5	1	4	1223	2	1	5	1224				1	6
7	PULAU TIGA	701	697	1	3	0			697		1	3	697				1	3
8	KAMPONG PASIR GARAM	614	610	2	2	0			610		2	2	610				2	2
9	KAMPONG PALOH PACHAT	549	549			0			548	1			549					
10	TANJONG BIDARA	417	414	3		0			413	1	3		414				3	
11	KAMPONG GERONGGONG	212	209			3	1	2	210			2	209	1				2
12	SELAT PULAU	786	785			1		1	781	4		1	785					1
13	KAMPONG GAJAH	1858	1835	2	11	10	8	2	1837	6	2	13	1835		4		2	17
14	PASIR SALAK	796	789	3		4	1	3	790		3	3	789	1			3	3
15	PASIR JENERIS	328	321	7		0			321		7		321				7	
16	PULAU JUAR	392	391			1	1		392				391	1				
17	KAMPONG PULAU BESAR	545	543	1		1	1		544		1		544				1	
18	KAMPONG AYER MATI	73	73			0			73				73					
19	BANDAR	89	89			0			89				89					
20	SUNGAI BUAYA	1106	1104			2		2	1103	1		2	1104					2
21	BUKIT CAWI SEBERANG PERAK	2236	2225	1	4	6	2	4	2226	1	1	8	2226				1	9
22	BANDAR PUSAT SEBERANG PERAK	5407	5383		12	12	4	8	5380	7		20	5385					22
23	KAMPONG SEJAGOP	482	474	3	3	2		2	474		3	5	474				3	5
24	KOTA SETIA	680	662	4	8	6	1	5	660	3	4	13	662				4	14
25	KAMPONG SUNGAI RANGGAM	737	730	1		6	3	3	731	2	1	3	730				1	6
26	SUNGAI JEJAWI	1884	1876	4		4		4	1876		4	4	1876				4	4
27	LADANG SEBERANG	304	19	64	221	0			18	1	64	221	19				64	221
28	KAMPONG SUNGAI DURIAN	276	261	14	1	0			260	1	14	1	261				14	1
29	LADANG RUBANA BAHAGIAN 2	793	478	8	298	9	5	4	477	6	8	302	478				8	307
30	KAMPONG SUNGAI RUBANA	393	365	23	3	2	2		367		23	3	366		1		23	3
31	SUNGAI BESAR	504	501	1		2	1	1	500	2	1	1	501		1		1	1
32	TANJONG KUBU	458	457			1		1	455	2		1	457					1
33	KAMPONG TELOK BAHARU	452	448		3	1		1	447	1		4	448					4
