kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KOTA KLIAS	1894	100	25	3	1766	1746	20	1729	117	25	23	100	4		1	25	1764
2	MALABAU	1835	83	24	1	1727	1698	29	1717	64	24	30	83	1		4	24	1723
3	KABULU	628	5	1		622	621	1	608	18	1	1	5	1		3	1	618
4	TAKULI	756	37	16	1	702	690	12	528	199	16	13	38	2	1		16	699
5	LIMBAWANG	3032	202	82	4	2744	2700	44	2704	198	82	48	207	14		10	82	2719
6	KLIAS BARU	2351	487	290	4	1570	1452	118	1647	292	290	122	487	3	1	5	290	1565
7	BANDAR BEAUFORT	1815	160	697	13	945	901	44	666	395	697	57	162	8	2	6	697	940
8	BINGKUL	2344	601	391	40	1312	1087	225	1426	262	391	265	607	23	6		391	1317
9	JIMPANGAH	841	35	80	2	724	707	17	212	530	80	19	35	12		1	80	713
10	HALOGILAT	367	4	15		348	325	23	36	293	15	23	4	1			15	347
11	TAMAN WAWASAN	839	69	223	3	544	530	14	443	156	223	17	69	5	1		223	541
12	KLIAS ESTATE	246	35	23	3	185	180	5	153	62	23	8	36	1			23	186
