kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	LRG KURAU 2	4		4		0					4						4	
2	LRG KURAU 4	2		2		0					2						2	
3	LRG KURAU 6	2		2		0					2						2	
4	LRG KURAU 15	106	2	92	9	3	1	2	2	1	92	11	2				92	12
5	LRG KURAU 17	138	2	131	5	0			2		131	5	2				131	5
6	LRG KURAU 19	124		110	14	0					110	14					110	14
7	LRG KURAU 21	130	1	115	14	0			1		115	14	1				115	14
8	LRG KURAU 23	122	1	110	11	0			1		110	11	1				110	11
9	LRG KURAU 25	143		108	34	1		1			108	35					108	35
10	LRG KURAU 27	130	4	108	18	0			4		108	18	4				108	18
11	LRG KURAU 29	82		71	11	0					71	11					71	11
12	LRG KURAU 31	61	3	48	10	0			3		48	10	3				48	10
13	LRG KURAU 33	72		47	25	0					47	25					47	25
14	TKT KURAU 6	141	2	119	19	1		1	2		119	20	2				119	20
15	TKT KURAU 8	83	1	65	15	2		2	1		65	17	1				65	17
16	LEBUH KURAU 1	74		73	1	0					73	1					73	1
17	LEBUH KURAU 3	75	2	72	1	0			2		72	1	2				72	1
18	LEBUH KURAU 4	1		1		0					1						1	
19	LEBUH KURAU 5	29		29		0					29						29	
20	LEBUH KURAU 7	62		54	7	1		1			54	8					54	8
21	LEBUH KURAU 9	110		68	42	0					68	42					68	42
22	MEDAN KURAU 1	41		37	4	0					37	4					37	4
23	MEDAN KURAU 2	27		27		0					27						27	
24	MEDAN KURAU 3	35		34	1	0					34	1					34	1
25	JLN KURAU	111	1	103	7	0			1		103	7	1				103	7
26	JLN KURAU 2	3		3		0					3						3	
27	TAMAN KURAU	63	1	48	14	0			1		48	14	1				48	14
28	LRG KURAU 1	26	1	23	2	0			1		23	2	1				23	2
29	LEBUH RAYA KURAU	178	6	143	29	0			6		143	29	6				143	29
30	CHAI LENG PARK	1073	17	904	147	5		5	16	1	904	152	17				904	152
31	LTG KURAU 1	39		30	9	0					30	9					30	9
32	LINTANG KURAU 3	51		43	7	1		1			43	8					43	8
