kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BT 21 KG TAPAH	1487	2	1429		56	56		3	55	1429		2	5	49	2	1429	
2	BT 22 KG TAPAH	322	2	296		24	24		2	24	296		2	17	7		296	
3	LRG 1 KG TAPAH	41		40		1	1			1	40			1			40	
4	LRG 2 KG TAPAH	35		35		0					35						35	
5	LRG 3 KG TAPAH	17		17		0					17						17	
6	LRG 4 KG TAPAH	19		18		1	1			1	18				1		18	
7	LRG 5 KG TAPAH	27		27		0					27						27	
8	LRG 6 KG TAPAH	5		5		0					5						5	
701	POLIS	11	8	1		2	2		8	2	1		8	1	1		1	
