kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PARIT NIBONG DARAT	1584	1553	25		6		6	1549	4	25	6	1553				25	6
2	BATU PUTEH	494	488	4	1	1		1	486	2	4	2	488				4	2
3	SEPARAP	1639	1575	39	8	17	4	13	1576	3	39	21	1575				39	25
4	KAMPONG BATU PUTEH	886	850	30	3	3	1	2	851		30	5	850	1			30	5
5	SEMERAH	1314	1130	181	1	2		2	1129	1	181	3	1130				181	3
6	BANDAR SEMERAH	734	339	388	3	4	3	1	340	2	388	4	339				388	7
7	LUBOK	1478	1233	240		5	1	4	1232	2	240	4	1233	1			240	4
8	PARIT KUDA	1057	991	60		6	3	3	990	4	60	3	991	1			60	5
9	PARIT BESAR	1328	1104	219	1	4	1	3	1100	5	219	4	1104	1			219	4
10	GAMBUT	906	766	132	2	6	3	3	767	2	132	5	769				132	5
11	BAGAN	1823	1387	427	1	8	3	5	1387	3	427	6	1387		2		427	7
12	MAMPAN	765	737	9	11	8	3	5	740		9	16	739		1		9	16
13	KAMPONG BINTANG	2171	1985	161	8	16	2	14	1983	4	161	22	1985				161	24
14	SIMPANG LIMA	1302	1237	55	1	9	2	7	1237	2	55	8	1237				55	10
15	SUNGAI KAJANG	898	888	7		3		3	885	3	7	3	888				7	3
16	PESERAI	3932	3672	214	15	31	3	28	3664	11	214	43	3674				214	44
17	SHAHBANDAR	1620	68	1537	13	2	1	1	66	3	1537	14	68	1			1537	14
18	JALAN JENANG	1569	52	1489	25	3		3	52		1489	28	52				1489	28
19	PASAR	1001	26	950	24	1	1		25	2	950	24	26		1		950	24
20	JALAN ENGAN	255	4	245	5	1		1	4		245	6	4				245	6
21	PANCHORAN AYER	1015	444	540	12	19	2	17	443	3	540	29	444	1			540	30
22	KAMPONG PANTAI BARAT	1725	351	1348	15	11	1	10	352		1348	25	351				1348	26
23	KAMPONG PANTAI TIMOR	1999	449	1481	58	11	1	10	448	2	1481	68	449				1481	69
24	KAMPONG PANTAI	200	40	153	6	1		1	40		153	7	40				153	7
25	PARIT MAIMON	3237	3008	201	6	22	9	13	3013	4	201	19	3010	2			201	24
26	PARIT PUASA	625	596	20	4	5		5	595	1	20	9	596				20	9
