kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KUATERS LDG PERAI	186	6	14	166	0			6		14	166	6				14	166
2	TMN SUPREME	93	5	44	41	3		3	5		44	44	5				44	44
3	TKT HARUAN 2	112	3	56	51	2	1	1	3	1	56	52	3				56	53
4	TKT HARUAN 4	92	1	32	59	0			1		32	59	1				32	59
5	TKT HARUAN 6	151	8	85	54	4		4	8		85	58	8				85	58
6	MDN HARUAN 1	84	4	53	26	1		1	4		53	27	4				53	27
7	MDN HARUAN 2	116	2	31	82	1		1	2		31	83	2				31	83
8	TMN HARUAN 2	1		1		0					1						1	
9	LRG HARUAN 1	23	1	21	1	0			1		21	1	1				21	1
10	TKT HARUAN 8	56	1	12	43	0			1		12	43	1				12	43
11	TMN HARUAN 1	23	1	18	4	0			1		18	4	1				18	4
12	KPG TELOK	858	171	105	572	10		10	169	2	105	582	171				105	582
13	PERAI JAYA	910	142	152	600	16	6	10	145	3	152	610	142	1			152	615
14	TMN TELUK INDAH	333	73	14	246	0			73		14	246	73				14	246
