kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	SEKSYEN 51	176	30	122	23	1		1	30		122	24	30				122	24
2	SEKSYEN 4 PETALING JAYA	3358	538	1982	736	102	5	97	539	4	1982	833	538	1			1982	837
3	KAWASAN MELAYU	1640	1124	314	180	22	2	20	1122	4	314	200	1124				314	202
4	PJS 1	3808	1992	418	1302	96	9	87	1991	10	418	1389	1992	1	4		418	1393
5	MEDAN PEJASA	3254	1576	973	639	66	30	36	1591	15	973	675	1577	1	3	1	973	699
6	TAMAN DATO HARUN 1	1776	1522	45	193	16		16	1521	1	45	209	1522				45	209
7	TAMAN DATO HARUN 2	3783	3377	39	322	45	6	39	3380	3	39	361	3377	2			39	365
8	PJS 3	3403	1830	303	1167	103	8	95	1834	4	303	1262	1832		1		303	1267
9	PJS 4	4465	3281	29	1097	58	15	43	3294	2	29	1140	3283	1			29	1152
10	BAIDURI	3828	1762	1019	974	72	11	61	1766	7	1019	1035	1763	3		1	1019	1041
11	PETALING UTAMA	1401	586	257	535	23	6	17	591	1	257	552	586				257	558
12	PJS 2	5095	4248	12	723	112	29	83	4267	10	12	806	4250	4	1		12	828
13	PJS 2C/12	2638	2468	8	129	33	4	29	2467	5	8	158	2468		1		8	161
14	PJS 2D	2396	2297	3	68	28	8	20	2303	2	3	88	2297				3	96
15	KAMPUNG MEDAN	1675	1182	13	463	17	1	16	1182	1	13	479	1182	1			13	479
16	PJS 2C	2035	1910	6	82	37	8	29	1918		6	111	1911	1	2		6	115
