kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
78	CAMERON HIGHLANDS	32048	10635	9455	4778	7179	7067	112	11868	5833	9455	4891	10636	9	9	1	9455	11937
79	LIPIS	35294	27456	5505	1852	481	355	126	27536	275	5505	1978	27469	13	6	1	5505	2300
80	RAUB	57723	29883	22007	3568	2265	2021	244	29980	1924	22007	3812	29897	15	4	2	22007	5798
81	JERANTUT	63609	51857	8298	1692	1761	1518	243	52023	1352	8298	1935	51867	19	7	4	8298	3413
82	INDERA MAHKOTA	77208	51144	20777	4459	827	455	372	51275	324	20777	4831	51184	67	26	9	20777	5144
83	KUANTAN	62696	41409	18544	2134	609	272	337	41322	359	18544	2471	41417	35	15	10	18544	2675
84	PAYA BESAR	55135	45738	7081	1092	1224	868	356	45830	776	7081	1448	45754	14	11	1	7081	2274
85	PEKAN	88899	76985	1827	743	9343	7749	1594	77587	7147	1827	2337	77013	263	151	7	1827	9637
86	MARAN	41036	36867	2518	601	1049	819	230	36879	807	2518	831	36872	10	6	1	2518	1628
87	KUALA KRAU	47264	42366	1312	1091	2495	2337	158	42496	2207	1312	1249	42383	3	1	1	1312	3564
88	TEMERLOH	75081	49347	16920	6149	2662	1670	992	49341	1676	16920	7141	49373	299	136	14	16920	8336
89	BENTONG	67359	31138	28096	6219	1906	1620	286	31208	1550	28096	6505	31154	68	33	8	28096	8000
90	BERA	58711	36217	17136	2181	3176	2920	256	36278	2859	17136	2437	36231	54	26	6	17136	5257
91	ROMPIN	61918	53797	1470	650	6000	5438	562	54377	4858	1470	1212	53802	30	13	3	1470	6599
