kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JLN SS 1/1 - SS 1/9	853	171	378	264	40	2	38	172	1	378	302	171		1		378	303
2	JLN SS 1/10	28	2	18	7	1		1	2		18	8	2				18	8
3	JLN SS 1/11 & 11A	277	112	87	67	11		11	112		87	78	112				87	78
4	JLN SS 1/12 & SS 1/14	58	9	41	4	4		4	9		41	8	9				41	8
5	JLN SS 1/13 (A & B)	105	14	75	13	3	1	2	15		75	15	14				75	16
6	JLN SS 1/15 & SS 1/15A	218	35	140	31	12		12	35		140	43	35				140	43
7	JLN SS 1/16 - SS 1/20	780	248	336	161	35	3	32	248	3	336	193	248	2			336	194
8	JLN SS 1/21 & SS 1/23(A-C)	500	304	123	59	14		14	304		123	73	304				123	73
9	JLN SS 1/22 (A & B)	273	143	75	52	3	1	2	143	1	75	54	143				75	55
801	PENGUNDI TIDAK HADIR	2	1		1	0			1			1	1					1
