kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JLN CEMPEDAK	8		8		0					8						8	
2	JLN LANGSAT	4		4		0					4						4	
3	JLN RAMBAI	7		5	2	0					5	2					5	2
4	JLN LIMAU MANIS	21	7	14		0			7		14		7				14	
5	JLN MANGGIS	8		8		0					8						8	
6	JLN MATA KUCING	6		6		0					6						6	
7	JLN DURIAN	17		17		0					17						17	
8	JLN DELIMA KG SIN LIK, KANGKAR BAHRU	54	1	53		0			1		53		1				53	
9	LDG YONG PENG BHG A	275	157	19	96	3		3	157		19	99	157				19	99
10	LDG YONG PENG DIV C	232	177	35	20	0			174	3	35	20	177				35	20
11	JLN MELATI DIV C	1	1			0			1				1					
12	JLN MELOR DIV C	1	1			0			1				1					
13	JLN DAHLIA DIV C	6	5	1		0			4	1	1		5				1	
14	JLN CEMPAKA DIV C	4	2	1	1	0			2		1	1	2				1	1
15	JLN ROS DIV C	2	2			0			2				2					
16	JLN KENANGA DIV C	1	1			0			1				1					
17	KG BANJIR BERSATU	62	60		1	1	1		60	1		1	60					2
18	KG SRI SEMANGAT	206	205			1		1	205			1	205					1
