kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	NORTHAM ROAD	1383	68	1170	135	10		10	67	1	1170	145	68				1170	145
2	PYKETT AVENUE	1239	24	1136	73	6		6	23	1	1136	79	24				1136	79
3	RANGOON ROAD	1360	218	988	148	6	2	4	218	2	988	152	219		1		988	152
4	NAGORE ROAD	2051	134	1512	401	4	1	3	134	1	1512	404	134	1			1512	404
5	WELLESLEY SCHOOL	1119	40	814	264	1		1	39	1	814	265	40				814	265
6	FARQUHAR STREET	663	13	468	174	8	1	7	12	2	468	181	13				468	182
7	LORONG ARGUS	534	9	448	59	18		18	8	1	448	77	9				448	77
8	MUNTRI STREET	667	11	627	28	1		1	11		627	29	11				627	29
9	KAMPONG MALABAR	882	18	760	97	7	2	5	18	2	760	102	18				760	104
10	LORONG SECK CHUAN	839	31	762	44	2	1	1	32		762	45	31				762	46
11	LORONG PASAR	960	15	825	119	1	1		16		825	119	15				825	120
12	ESPLANADE	1277	177	787	306	7	2	5	174	5	787	311	177	1			787	312
13	LEBOH PASAR	985	24	374	584	3	1	2	23	2	374	586	24				374	587
14	LEBOH AH QUEE	517	39	328	142	8	1	7	40		328	149	39				328	150
