kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KILANG PAPAN HEAN LEE	24	19	5		0			19		5		19				5	
2	JLN KUANTAN JERANTUT	21	6	13	1	1		1	6		13	2	6				13	2
3	KG JERANTUT FERI	450	430	11	2	7	2	5	429	3	11	7	430				11	9
4	KG PAYA GUNUNG	200	196			4		4	194	2		4	196					4
5	KG PAYA LINTAH	31				31	31		7	24								31
6	KILANG PAPAN SEE HENG	1	1			0			1				1					
7	KG PAYA GARUK	129	124	1	1	3	3		126	1	1	1	124				1	4
8	SEK TUNAS BAKTI	22	21	1		0			21		1		21				1	
9	KG PAYA PETAI	63		1		62	62		26	36	1						1	62
10	TAMAN SERI PEDAH	172	170	2		0			169	1	2		170				2	
11	KG BATU 57	5	1	2	2	0			1		2	2	1				2	2
12	TAMAN RIA	79	76	2		1		1	75	1	2	1	76				2	1
13	TAMAN PEDAH PERMAI	70	69		1	0			69			1	69					1
14	PAKR JERANTUT FERI	22	22			0			22				22					
701	PONDOK POLIS JERANTUT FERI	2	2			0			2				2					
