kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
19	TUMPAT	110924	102989	3482	173	4278	382	3896	102674	697	3482	4069	102998	14	7	3	3482	4418
20	PENGKALAN CHEPA	75384	73607	1091	98	588	163	425	73449	321	1091	523	73620	28	21	4	1091	620
21	KOTA BHARU	88708	74666	12618	717	706	115	591	74422	359	12618	1308	74674	17	13	1	12618	1384
22	PASIR MAS	71222	69433	1425	55	308	86	222	69220	299	1425	277	69441	4	3	3	1425	345
23	RANTAU PANJANG	66115	64065	1388	47	614	125	489	63767	423	1388	536	64072	16	2		1388	636
24	KUBANG KERIAN	82018	80312	1370	115	220	82	138	80172	222	1370	253	80320	12	9	3	1370	303
25	BACHOK	92606	91129	990	45	441	87	354	91020	196	990	399	91133	14	9	2	990	457
26	KETEREH	65238	63019	1230	50	939	612	327	62724	907	1230	377	63044	241	105	9	1230	609
27	TANAH MERAH	73172	69203	2876	426	659	115	544	69160	158	2876	970	69221	13	12	1	2876	1041
28	PASIR PUTEH	85411	83785	813	44	769	92	677	83674	203	813	721	83796	15	7	2	813	778
29	MACHANG	68387	65912	2128	129	218	84	134	65845	151	2128	263	65926	8	13	1	2128	311
30	JELI	47470	46513	85	51	787	636	151	46666	483	85	202	46532	85	46	7	85	681
31	KUALA KRAI	70348	66391	2771	847	339	107	232	66324	174	2771	1079	66399	15	10	1	2771	1152
32	GUA MUSANG	52524	43068	2924	270	6261	6097	164	44852	4313	2924	434	43074	18	4	3	2924	6500
