kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG SG ROKAM	131	119	7	4	1		1	119		7	5	119				7	5
2	JALAN BELIMBING	22	18	2	2	0			18		2	2	18				2	2
3	JALAN DAHLIA	118	117	1		0			117		1		117				1	
4	JALAN KELUBI	91	89		2	0			89			2	89					2
5	JALAN KENANGA	100	99			1		1	98	1		1	99					1
6	JALAN LARAH	61	57			4		4	57			4	57					4
7	JALAN MAWAR	154	153	1		0			152	1	1		153				1	
8	JALAN MELATI	73	71	1		1	1		72		1		71				1	1
9	JALAN PERAH	44	44			0			44				44					
10	JALAN ROKAM	441	405	18	14	4	1	3	406		18	17	405				18	18
11	JALAN SALAK	132	132			0			132				132					
12	JALAN SUKUN	334	312	14	2	6		6	312		14	8	312				14	8
13	JALAN TAMPOI	364	358	1	1	4	1	3	358	1	1	4	358			1	1	4
14	JALAN TERATAI	42	41			1	1		42				41					1
15	KAWASAN KEDAI	6	6			0			6				6					
16	LORONG TERATAI	39	37	1	1	0			37		1	1	37				1	1
17	TAMAN TUNAS JAYA	69	16	53		0			16		53		16				53	
18	JALAN THEATRE	13	2	11		0			2		11		2				11	
19	TAMAN SRI ROKAM	276	54	158	59	5		5	54		158	64	54				158	64
20	LRG INDAH DUA TAMAN SRI ROKAM	8		7	1	0					7	1					7	1
21	LORONG INDAH SATU TMN SRI ROKAM	17		15	2	0					15	2					15	2
22	JLN INDAH ROKAM	51	22	19	10	0			22		19	10	22				19	10
23	TAMAN RAPAT AMAN	133	34	82	17	0			34		82	17	34				82	17
24	TMN ROKAM JAYA	19	3	16		0			3		16		3				16	
25	KAWASAN POLIS	52	48			4	4		51	1			48					4
26	TMN INDAH ROKAM	3			3	0						3						3
27	LEBUHRAYA INDAH ROKAM	2	1	1		0			1		1		1				1	
28	JLN INDAH ROKAM	8	3		5	0			3			5	3					5
701	BALAI POLIS KG RAPAT	68	57	1	1	9	9		61	5	1	1	57	1	2		1	7
801	PENGUNDI TIDAK HADIR	2	1	1		0			1		1		1				1	
