kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG STUTONG	512	14	258		240	238	2	19	233	258	2	14	194	41	3	258	2
2	TAMAN B D C	2611	246	1781		583	554	29	259	541	1781	29	246	330	195	29	1781	29
3	SATRIA JAYA	1007	144	584		279	267	12	142	269	584	12	144	153	91	23	584	12
4	PELITA HEIGHT	90	6	78		6	4	2	6	4	78	2	6	1	3		78	2
5	POLARWOOD ESTATE	61	1	55		5	5		1	5	55		1	3	2		55	
801	PENGUNDI TIDAK HADIR	3	1	2		0			1		2		1				2	
