kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAMPUNG BANDAR	1944	1898	46		0			1888	10	46		1898				46	
2	ALOR MELAKA	2188	2181	2	3	2	1	1	2176	6	2	4	2181				2	5
3	MERBAU CHONDONG	2024	2010	7	1	6	2	4	2012		7	5	2010				7	7
4	KEDAI PULAI CHONDONG	1098	1019	72	1	6	2	4	1017	4	72	5	1019				72	7
5	PANGKAL GONG	1650	1646		1	3	1	2	1646	1		3	1646		1			3
6	KERAWANG	966	963	3		0			962	1	3		963				3	
7	BAGAN	1377	1161	213	2	1	1		1156	6	213	2	1161	1			213	2
8	KAMPUNG TOK BOK	1625	1619	1		5	5		1622	2	1		1621				1	3
9	JOH	2172	1905	255	2	10	3	7	1901	7	255	9	1905		2		255	10
10	LABOK	2503	2487	4		12	7	5	2486	8	4	5	2487		4		4	8
11	KAMPUNG BINJAI	1497	1494	2		1		1	1490	4	2	1	1494				2	1
12	DEWAN	2600	2589	2		9	4	5	2592	1	2	5	2591	1			2	6
