kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PENGKALAN KUNDANG	4468	1235	2321	856	56	16	40	1242	9	2321	896	1238	4	4	1	2321	900
2	SUNGAI SERAI	911	701	23	170	17	1	16	702		23	186	701				23	187
3	PEKAN KUANG	1777	234	559	714	270	257	13	332	159	559	727	234	3	1	1	559	979
4	KAMPUNG GOMBAK	1751	1651	10	17	73	14	59	1657	8	10	76	1652	1			10	88
5	KAMPUNG KUANG	3907	3665	18	45	179	14	165	3670	9	18	210	3669	1	2	1	18	216
6	KAMPUNG CEMPEDAK	1274	903	24	340	7	2	5	904	1	24	345	903	1			24	346
7	SRI KUNDANG	4394	4173	32	33	156	12	144	4173	12	32	177	4173	3			32	186
8	BANDAR TASIK PUTERI	7497	6722	191	397	187	74	113	6777	19	191	510	6732	15	4		191	555
9	PENJARA SUNGAI BULOH	502	472	1	23	6	4	2	475	1	1	25	472		1		1	28
