kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG SG PELONG	1457	1301	41	84	31	4	27	1297	8	41	111	1302			1	41	113
2	LDG CHIN LEONG	37		2	35	0					2	35					2	35
3	JLN 1 R/MURAH PKNS	29	25	1	2	1		1	25		1	3	25				1	3
4	JLN 2 R/MURAH PKNS	30	28		1	1		1	28			2	28					2
5	JLN 3 R/MURAH PKNS	40	40			0			40				40					
6	LRG 3A R/MURAH PKNS	26	26			0			26				26					
7	JLN 4 R/MURAH PKNS	48	37	1	9	1		1	37		1	10	37				1	10
8	JLN 6 R/MURAH PKNS	55	50		5	0			50			5	50					5
9	QRS POLIS SG PELONG	18	18			0			18				18					
10	SEK KEB SG PELONG	77	68		1	8		8	68			9	68					9
701	BALAI POLIS SUNGAI PELONG	26	21		2	3	3		21	3		2	21	2				3
