kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	ARA KUDA MK 13	238	154	71	13	0			153	1	71	13	154				71	13
2	BUKIT TOK ALANG	43	14		29	0			13	1		29	14					29
3	HIN MOH ESTATE MK 13	1			1	0						1						1
4	LUBOK BATU MK 13	18	18			0			18				18					
5	LDG MAYFIELD MK 13	199	27	1	170	1		1	27		1	171	27				1	171
6	SIN TEIK ESTATE MK 13	1			1	0						1						1
7	SUNGAI KULIM MK 13	7	7			0			7				7					
8	PAYA TOK AKIL MK 13	106	105	1		0			105		1		105				1	
