kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	CHAROK PUTING	857	839	3	2	13	8	5	843	4	3	7	840		1		3	13
2	BATU BOR	292	290		2	0			289	1		2	290					2
3	BOHOR BAHARU	674	672			2	2		673	1			672					2
4	FELDA PURUN	3109	3072	6	27	4	2	2	3071	3	6	29	3072				6	31
5	FELDA MAYAM	2266	2123		107	36	33	3	2126	30		110	2123					143
6	FELDA KUMAI	2663	2641		1	21	19	2	2638	22		3	2642					21
7	FELDA BUKIT KEPAYANG	1924	1886	5	28	5	1	4	1882	5	5	32	1886				5	33
8	BUKIT ROK	688	26	7		655	655		98	583	7		26	2			7	653
9	KUALA BERA	1178	1149	3	4	22	11	11	1156	4	3	15	1153				3	22
10	KUALA TRIANG	1269	1234	4	15	16	8	8	1240	2	4	23	1235				4	30
11	SENYUM JEMPOL	411	359		2	50	43	7	356	46		9	359					52
12	DURIAN TAWAR	1021	989	25		7	3	4	989	3	25	4	989				25	7
13	MENGKARAK	1569	52	1287	222	8	6	2	51	7	1287	224	52				1287	230
14	PADANG LUAS	1432	1397	9	7	19	4	15	1401		9	22	1398				9	25
