kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	RANGGOM	982	20	11		951	944	7	134	830	11	7	21	7			11	943
2	APIN-APIN	1562	46	18	1	1497	1482	15	262	1266	18	16	46	6		2	18	1490
3	MARAMPONG	1756	53	8		1695	1684	11	693	1044	8	11	54	2		1	8	1691
4	BUNGA RAYA	707	6	2		699	694	5	112	588	2	5	6	1			2	698
5	KUKUANGOH	722	29	3		690	685	5	81	633	3	5	29	3	1		3	686
6	TUNTUMULOD	1728	37	19	7	1664	1652	12	261	1428	19	19	37	4		2	19	1665
7	BINGKOR	1711	50	50	1	1610	1586	24	280	1356	50	25	50	1		2	50	1608
8	BAGINDA	1440	55	15	1	1369	1350	19	580	825	15	20	56	3		3	15	1363
9	TUARID TAUD	2771	207	142	2	2420	2361	59	914	1654	142	61	208	8	3	3	142	2407
10	KENINGAU STATION	1394	134	265	5	990	949	41	497	586	265	46	136	10	2	4	265	977
11	KENINGAU BANDAR	2988	256	1203	19	1509	1443	66	622	1077	1203	85	260	27	6	7	1203	1484
