kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BAWAN	1559	15	10		1534	1534		40	1509	10		15	1525	6	3	10	
2	ARIP	2153	18	38		2096	2096		61	2052	38	1	18	2069	8	19	38	
3	TATAU-BUAN	1094	478	46		570	569	1	527	520	46	1	478	533	3	33	46	1
4	KAKUS	595	10	2		583	583		12	581	2		10	232	1	350	2	
5	ANAP	240	1	4		235	235		2	234	4		1	229		6	4	
6	TATAU	1306	111	385		810	810		126	795	385		111	781	5	24	385	
7	LUBOK KUMPAI	408	2	10		396	396		5	392	10	1	2	385	1	10	10	
8	BEKIRAN	163	3	5		155	155		1	157	5		3	148		7	5	
9	TEKALIT	475	1	8		466	466		8	459	8		1	455	4	7	8	
10	RUNGAN	384	2	1		381	381		6	377	1		2	372	1	8	1	
11	GIRI	89				89	89		2	87				89				
12	KELEBU	174	6	2		166	166		7	165	2		6	162	2	2	2	
13	ENTAJUM	274	3			271	271		6	268			3	269		2		
14	ULU SANGAN	275		1		274	274		6	268	1			274			1	
15	SANGAN	547	4	28		515	515		12	507	28		4	503	1	11	28	
16	PENYARAI	418	4	1		413	413		6	411	1		4	376		37	1	
17	KULAU BELUNGAI	378	3	3		372	372		10	365	3		3	240		132	3	
18	MUPUT	324	2	3		319	319		8	313	3		2	315		4	3	
19	PASIR NANGKA	302	2	4		296	296		5	293	4		2	296			4	
20	NANGA EMPANG	76				76	76			76				75		1		
21	KANA	401		3		398	398		5	393	3			392		6	3	
22	SETUSOR	168				168	168		1	167				168				
23	TAU	433	3	7		423	423		10	416	7		3	414	1	8	7	
24	TAKAN	188	2			186	186		5	183			2	184		2		
25	ANNAU	1401	11	22		1367	1367		37	1341	22		11	1337	1	29	22	
