kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
92	SABAK BERNAM	40863	33833	4772	2067	191	62	129	33809	86	4772	2196	33840	15	8	4	4772	2224
93	SUNGAI BESAR	48739	33345	14033	1004	357	94	263	33367	72	14033	1267	33351	13	7	2	14033	1333
94	HULU SELANGOR	100990	60216	20997	16608	3168	2268	900	60721	1763	20997	17508	60261	105	55	13	20997	19558
95	TANJONG KARANG	47198	34920	7518	4284	476	58	418	34903	75	7518	4702	34928	6	4	1	7518	4741
96	KUALA SELANGOR	69397	44863	8961	14791	782	181	601	44901	143	8961	15392	44890	21	21	4	8961	15500
97	SELAYANG	116176	58933	33366	20853	3023	913	2110	59288	558	33366	22963	58994	107	63	13	33366	23632
98	GOMBAK	141112	103172	15013	15640	7286	1190	6096	103636	726	15013	21736	103258	87	64	6	15013	22683
99	AMPANG	91737	48621	31769	8239	3108	428	2680	48869	180	31769	10919	48668	61	38	10	31769	11191
100	PANDAN	101319	45028	46575	7442	2272	700	1572	45409	319	46575	9014	45073	83	50	15	46575	9521
101	HULU LANGAT	102363	65111	22563	10823	3866	1700	2166	65738	1073	22563	12989	65185	158	65	24	22563	14368
102	BANGI	178790	85168	69615	20179	3825	1304	2521	85858	614	69615	22700	85318	227	97	34	69615	23496
103	PUCHONG	96437	35055	50131	9855	1395	813	582	35472	396	50131	10437	35110	108	39	11	50131	11037
104	SUBANG	146422	38154	82666	22585	3014	1353	1661	38731	776	82666	24246	38241	243	101	38	82666	25130
105	PETALING JAYA	140920	64608	45092	27943	3273	938	2335	64938	608	45092	30278	64673	151	88	28	45092	30884
106	DAMANSARA	164322	31469	114082	15714	3055	1043	2012	31941	571	114082	17726	31526	104	68	18	114082	18522
107	SUNGAI BULOH	90707	57269	19622	9970	3846	1097	2749	57776	590	19622	12719	57354	248	120	18	19622	13345
108	SHAH ALAM	107316	80223	11605	13916	1572	826	746	80673	376	11605	14662	80312	127	55	18	11605	15199
109	KAPAR	124983	87546	18477	17127	1833	638	1195	87884	300	18477	18322	87584	61	43	7	18477	18811
110	KLANG	149348	38705	82536	25833	2273	1084	1189	39350	439	82536	27022	38757	119	37	21	82536	27877
111	KOTA RAJA	149021	62796	41190	41783	3252	1837	1415	64127	506	41190	43198	62865	135	55	29	41190	44747
112	KUALA LANGAT	102406	57859	24603	16810	3134	2287	847	58280	1866	24603	17657	57903	60	40	11	24603	19789
113	SEPANG	104508	64190	21225	15014	4076	3121	955	65194	2117	21225	15969	64270	150	54	25	21225	18781
