kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	TITI TINGGI	10111	7842	1949	218	102	42	60	7832	52	1949	278	7848	8	5		1949	301
2	BESERI	8914	7240	1499	66	109	37	72	7243	34	1499	138	7244	15	2	1	1499	153
3	CHUPING	10542	9034	215	61	1232	125	1107	9013	146	215	1168	9034	1			215	1292
4	MATA AYER	7617	6901	198	56	462	414	48	6959	356	198	104	6917	172	81	8	198	241
5	SANTAN	8912	8842	36	10	24	9	15	8835	16	36	25	8844				36	32
