kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	MURNI JAYA	917	900	4	4	9	1	8	900	1	4	12	900				4	13
2	BUKIT PERMAI	1057	955	21	74	7	3	4	958		21	78	955	1	1		21	79
3	INAS	1322	1310		6	6	2	4	1310	2		10	1310					12
4	SEDENAK UTARA	771	460	129	179	3		3	459	1	129	182	460				129	182
5	SEDENAK SELATAN	1305	67	1210	24	4		4	67		1210	28	67				1210	28
6	LADANG FRASER	306	195	28	76	7		7	194	1	28	83	195				28	83
7	PEKAN SENGKANG	1757	232	1379	141	5		5	231	1	1379	146	232				1379	146
8	FELDA TAIB ANDAK	3785	3741	5	4	34	6	28	3740	7	5	32	3741	1	1		5	36
9	LADANG SWEE LAM	7232	3036	2864	1198	133	64	69	3076	24	2864	1267	3043	14	6	2	2864	1302
10	LADANG KELAN	225	102	23	98	2		2	102		23	100	102				23	100
11	BANDAR KULAI UTARA	4778	979	2551	1174	74	17	57	985	11	2551	1231	982	2	3		2551	1240
12	KAMPONG PERTANIAN	820	748	32	5	35	7	28	753	2	32	33	749	3			32	36
