kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	FELDA JENGKA 6	1851	1818		4	29	28	1	1813	33		5	1818					33
2	FELDA JENGKA 7	1849	1846	1		2	1	1	1844	3	1	1	1846				1	2
3	PAYA PASIR	977	962			15		15	960	2		15	962					15
4	PESAGI	269	268	1		0			265	3	1		268				1	
5	PEJING	150	149			1		1	147	2		1	149					1
6	KERTAU	715	566	2		147	145	2	580	131	2	2	567				2	146
7	SEKARA	1224	1218	2		4	1	3	1216	3	2	3	1218				2	4
8	CHENOR SEBERANG	701	696			5		5	694	2		5	696					5
9	BANDAR CHENOR	1550	1474	33	12	31	2	29	1470	6	33	41	1474	1			33	42
10	BUKIT SEGUMPAL	1960	1774	51	114	21	5	16	1774	5	51	130	1776	1	1		51	131
11	FELDA KAMPUNG AWAH	1403	1396		4	3	2	1	1392	6		5	1396		2			5
12	FELDA SUNGAI NEREK	1466	1455	1	1	9	4	5	1455	4	1	6	1456	1			1	8
13	BUKIT LADA	596	594	1		1		1	591	3	1	1	594				1	1
14	KAMPUNG JENGKA	681	646		1	34	29	5	654	21		6	646					35
