kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	LDG. BUAN HENG	29	1	5	23	0			1		5	23	1				5	23
2	LDG. NAM HOE	6	2	2	2	0			2		2	2	2				2	2
3	JLN. EMAS	2457	793	1339	299	25	8	17	794	7	1339	316	793	5			1339	319
4	JLN. EMAS PUTEH	221	6	198	14	3	2	1	6	2	198	15	6		1		198	16
5	JLN PERAK	596	173	262	152	9		9	172	1	262	161	173				262	161
6	JLN SRI SKUDAI	88	5	76	7	0			5		76	7	5				76	7
7	JLN TIMAH	660	156	448	55	1	1		156	1	448	55	156				448	56
8	JLN BESI	146	26	88	31	1	1		26	1	88	31	26				88	32
9	JLN GANGSA	289	21	218	45	5	5		25	1	218	45	21				218	50
10	TMN HARMONI	269	62	118	88	1		1	62		118	89	62				118	89
11	JLN DEPU TMN SRI PUTRI	16	5	6	4	1		1	5		6	5	5				6	5
12	KG MELAYU SEKUDAI	13	6	3	3	1		1	6		3	4	6				3	4
801	PENGUNDI TIDAK HADIR	4	2	1	1	0			2		1	1	2				1	1
