kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BATU 57	11	2	9		0			2		9		2				9	
2	BAN CHIN HOE ESTATE	4		2	2	0					2	2					2	2
3	BATU 58	18	5	11	2	0			5		11	2	5				11	2
4	BATU 59	4		4		0					4						4	
5	BATU 60	9	2	7		0			2		7		2				7	
6	FOREST QUARTERS	9	9			0			9				9					
7	JALAN TEPI SUNGEI	55	9	45	1	0			9		45	1	9				45	1
8	JETTY ROAD	16	11	5		0			11		5		11				5	
9	LUMUT ESTATE	11		6	5	0					6	5					6	5
10	MAIN ROAD	58	4	49	4	1	1		4	1	49	4	4		1		49	4
11	POLICE COMPOUND	5	5			0			5				5					
12	SEGARI	35	8	22	5	0			8		22	5	8				22	5
13	BATU 6	46	4	39	3	0			4		39	3	4				39	3
14	BATU 7	46		36	10	0					36	10					36	10
15	BATU 8	159	59	61	39	0			59		61	39	59				61	39
16	TAMAN SEGARI	56	2	25	29	0			2		25	29	2				25	29
17	TMN SEGARI MAJU	21	1	10	10	0			1		10	10	1				10	10
701	BALAI POLIS SEGARI	16	15		1	0			15			1	15					1
