kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
140	SEGAMAT	55350	25355	23683	5621	631	402	229	25035	722	23683	5850	25373	120	45	4	23683	6065
141	SEKIJANG	45596	26803	16484	1854	454	133	321	26818	118	16484	2175	26807	16	8		16484	2280
142	LABIS	40356	15104	18128	5998	1126	901	225	15258	747	18128	6223	15109	10	4	1	18128	7104
143	PAGOH	51512	33799	15333	1926	452	271	181	33841	229	15333	2107	33806	11	4		15333	2356
144	LEDANG	77474	42933	30239	3572	727	378	349	42978	333	30239	3921	42944	17	10	1	30239	4260
145	BAKRI	73883	32515	39370	1608	390	161	229	32542	134	39370	1837	32523	33	20	9	39370	1928
146	MUAR	50843	33785	16018	693	346	108	238	33768	125	16018	931	33797	16	11	1	16018	999
147	PARIT SULONG	59609	46600	12312	310	385	77	308	46564	113	12312	618	46611	12	9	1	12312	662
148	AYER HITAM	46157	26454	17519	1887	295	41	254	26407	88	17519	2141	26463	4	7	2	17519	2160
149	SRI GADING	52119	33690	17289	794	345	75	270	33679	86	17289	1064	33702	8	6	2	17289	1111
150	BATU PAHAT	98543	53381	42861	1339	958	259	699	53468	172	42861	2038	53395	34	18	9	42861	2222
151	SIMPANG RENGGAM	43998	25794	13552	4051	601	143	458	25764	173	13552	4509	25809	26	7	1	13552	4603
152	KLUANG	96915	39748	46023	9310	1833	1069	764	39868	948	46023	10075	39786	459	182	15	46023	10449
153	SEMBRONG	44137	26267	12869	3925	1075	663	412	26459	471	12869	4337	26273	11	8	2	12869	4973
154	MERSING	48176	38991	6879	658	1646	1366	280	39309	1048	6879	938	39006	185	82	9	6879	2013
155	TENGGARA	44749	32972	7227	3083	1466	983	483	33130	825	7227	3566	32986	337	146	10	7227	4042
156	KOTA TINGGI	46677	40967	4319	917	473	146	327	41007	106	4319	1244	40982	28	10	3	4319	1334
157	PENGERANG	40479	36193	3583	339	363	208	155	36282	119	3583	494	36203	49	20	2	3583	621
158	TEBRAU	123033	55817	48397	14805	4011	1538	2473	56323	1032	48397	17278	55924	688	141	36	48397	17844
159	PASIR GUDANG	124172	58056	45980	13294	6836	4455	2381	60552	1959	45980	15675	58199	1563	213	47	45980	18164
160	JOHOR BAHRU	101409	52216	41652	5404	2132	611	1521	52418	409	41652	6925	52353	141	58	12	41652	7188
161	PULAI	106268	51284	41669	11135	2177	1042	1135	51571	754	41669	12271	51368	255	84	21	41669	12868
162	ISKANDAR PUTERI	138299	49870	68841	17481	2105	1234	871	50343	761	68841	18352	49951	361	102	20	68841	19022
163	KULAI	99147	33986	53564	10308	1286	594	692	34275	305	53564	11000	34028	142	40	11	53564	11359
164	PONTIAN	55570	37534	16735	609	691	106	585	37556	84	16735	1194	37547	14	11	1	16735	1261
165	TANJUNG PIAI	53528	30074	22287	546	618	116	502	30074	116	22287	1048	30086	21	18	1	22287	1112
