kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	TMN PANDAN PERDANA	1200	129	999	58	14	12	2	137	4	999	60	130				999	71
2	JLN PERDANA 3/2	223	132	60	30	1		1	132		60	31	132				60	31
3	JLN PERDANA 3/4	48	38	6	1	3	1	2	38	1	6	3	38				6	4
4	JLN PERDANA 3/6	34	25	9		0			25		9		25				9	
5	JLN PERDANA 3/10	10	2	7	1	0			2		7	1	2				7	1
6	JLN PERDANA 5/1	178	36	135	6	1	1		36	1	135	6	36				135	7
7	JLN PERDANA 5/2	148	25	118	4	1	1		26		118	4	25				118	5
8	JLN PERDANA 5/3	98	7	83	8	0			7		83	8	7				83	8
9	JLN PERDANA 5/4	50	9	39	2	0			9		39	2	9				39	2
10	JLN PERDANA 5/5	116	11	105		0			11		105		11				105	
11	JLN PERDANA 5/6	1		1		0					1						1	
12	JLN PERDANA 5/7	39	2	33	4	0			2		33	4	2				33	4
13	JLN PERDANA 5/11	70	4	57	9	0			4		57	9	4				57	9
14	JLN PERDANA 6/4	13	1	12		0			1		12		1				12	
15	JLN PERDANA 6/6	189	16	155	14	4	4		20		155	14	16	1			155	17
16	JLN PERDANA 6/8	150	11	122	12	5	4	1	12	3	122	13	11		3		122	14
17	JLN PERDANA 9	3	1	1		1	1		2		1		1				1	1
18	JLN PERDANA 9/1	11	1	9	1	0			1		9	1	1				9	1
19	JLN PERDANA 9/2	25		25		0					25						25	
20	JLN PERDANA 9/3	33	1	27	5	0			1		27	5	1				27	5
21	JLN PERDANA 9/4	37	3	33	1	0			3		33	1	3				33	1
22	JLN PERDANA 9/5	30	1	25	4	0			1		25	4	1				25	4
23	JLN PERDANA 9/6	54	4	44	6	0			4		44	6	4				44	6
24	JLN PERDANA 9/8	56	2	52	1	1		1	2		52	2	2				52	2
25	JLN PERDANA 9/10	745	137	312	226	70	31	39	162	6	312	265	137	3	1		312	292
26	JLN PERDANA 10/1	16	1	15		0			1		15		1				15	
27	JLN PERDANA 10/2	45	4	37	4	0			4		37	4	4				37	4
28	JLN PERDANA 10/4	69	3	61	3	2	1	1	3	1	61	4	3				61	5
29	BLK A PANDAN PERDANA	78	39	16	23	0			39		16	23	39				16	23
30	BLK B PANDAN PERDANA	50	16	22	11	1	1		17		22	11	16				22	12
31	BLK E PANDAN PERDANA	1		1		0					1						1	
32	PANDAN LAKEVIEW	157	24	113	14	6	5	1	27	2	113	15	24	1			113	19
33	JLN PERDANA 6/12	23	3	17	3	0			3		17	3	3				17	3
34	JLN PERDANA 6/7	63	7	55	1	0			7		55	1	7				55	1
35	JLN PERDANA 6/9	32		31	1	0					31	1					31	1
36	JLN PERDANA 6/3	26	1	24	1	0			1		24	1	1				24	1
37	JLN PERDANA 6/11	41	1	38	2	0			1		38	2	1				38	2
38	BLK D PANDAN PERDANA	16	5		11	0			5			11	5					11
39	JLN PERDANA 6/14	34	4	28	2	0			4		28	2	4				28	2
40	JLN PERDANA 10/3	22	2	19	1	0			2		19	1	2				19	1
41	JLN PERDANA 6/5	32	2	27	3	0			2		27	3	2				27	3
42	JLN PERDANA 3/1	15	4	11		0			4		11		4				11	
801	PENGUNDI TIDAK HADIR	2		2		0					2						2	
