kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KEDUNDONG	585	584		1	0			582	2		1	584					1
2	DERANG	1778	1754	13	1	10	5	5	1757	2	13	6	1754	3			13	8
3	KAMPUNG KEJAL	929	921	1	5	2	1	1	922		1	6	921				1	7
4	GAJAH MATI	479	478	1		0			477	1	1		478				1	
5	BUKIT LAREK	2412	2356	40	11	5	2	3	2353	5	40	14	2356				40	16
6	PEKAN BAHRU POKOK SENA	1704	650	1009	37	8		8	647	3	1009	45	650				1009	45
7	PEKAN LAMA POKOK SENA	1566	1110	342	109	5	2	3	1105	7	342	112	1110		1		342	113
8	KAMPUNG KOLON	1953	1254	282	406	11	5	6	1255	4	282	412	1254	1	1		282	415
9	JABI	1963	1887	52	20	4	1	3	1888		52	23	1887				52	24
10	TELAGA MAS	1756	1752	4		0			1747	5	4		1752				4	
11	TANJONG MUSANG	1323	1234	86	1	2	1	1	1235		86	2	1235				86	2
12	KEBUN 500	847	581	226	36	4	1	3	578	4	226	39	581				226	40
13	KEPALA BENDANG	1035	1012	11		12	2	10	1014		11	10	1012	1			11	11
14	KAMPUNG MENERONG	1052	1044	3	1	4	3	1	1043	4	3	2	1044	2			3	3
15	KAMPUNG PADANG	554	549	2		3	2	1	550	1	2	1	549				2	3
16	KAMPUNG PAYA	487	486	1		0			484	2	1		486				1	
17	KAMPUNG NAWA	1510	1494	10	2	4	2	2	1493	3	10	4	1494				10	6
18	BUKIT PAYONG	2261	2249	5	2	5	1	4	2246	4	5	6	2249				5	7
19	KUBANG LERET	1058	1045	10		2	2		1046	1	10		1045	1			10	1
20	KAMPUNG BUKIT	2346	2184	23	1	138	6	132	2180	10	23	133	2184				23	139
21	KUALA LANJUT	1878	1878			0			1876	2			1878					
22	KAMPUNG PANCHOR	526	518	7		1		1	518		7	1	518				7	1
