kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG PAUH TULID	138	5			133	133		12	126			5					133
2	KG TULID	410	11	1		398	398		50	359	1		11			1	1	397
3	KG TIONG TULID	68	10			58	58		25	43			10					58
4	KG MAATOL	107				107	106	1	6	100		1						107
5	KG KABUAN	64	1			63	60	3	54	7		3	1					63
6	KG RAMPAYAN	40				40	40		34	6								40
7	KG KIULU BARU	54				54	53	1	4	49		1						54
8	KG BATU LUNGUYAN	306	7	4		295	294	1	37	264	4	1	7				4	295
