kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG LUBOK ETOK	244	244			0			243	1			244					
2	KG TELOK BEREMBANG	274	274			0			274				274					
3	KG TUBA	429	429			0			428	1			429					
4	KG TELOK BUJOR	99	99			0			98	1			99					
5	KG TEPI LAUT	32	31			1		1	31			1	31					1
6	KG TENGAH	25	25			0			25				25					
701	PONDOK POLIS PULAU TUBA	2	2			0			2				2					
