kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KRUNEI	2896	2876	2	2	16	4	12	2877	3	2	14	2876				2	18
2	PEKAN GRIK BARAT	2678	1782	657	123	116	93	23	1834	41	657	146	1782	7			657	232
3	BATU DUA	1133	211	864	51	7	3	4	211	3	864	55	211	3			864	55
4	PEKAN GRIK TIMOR	2605	982	1467	130	26	13	13	985	10	1467	143	984	3	1		1467	150
5	GRIK UTARA	1354	1257	40	40	17	9	8	1263	3	40	48	1257				40	57
6	KUALA RUI	814	101	697	8	8	6	2	101	6	697	10	101	2	2		697	12
7	BERSIA	3532	3161	1	13	357	340	17	3289	212	1	30	3167	87	54	2	1	221
8	RANCANGAN FELDA BERSIA	1822	1817		2	3	3		1817	3		2	1817					5
9	KAMPONG BONGOR	1131	1126	2		3	1	2	1126	1	2	2	1126				2	3
10	SUNGAI TIANG	328				328	328		61	267								328
11	BANUN	701	10			691	690	1	425	275		1	10					691
12	POS KEMAR	1540	2	2		1536	1535	1	644	893	2	1	2				2	1536
