kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PULAU RUSA	2227	2220	2		5	1	4	2219	2	2	4	2220				2	5
2	PALUH	2563	2561		2	0			2557	4		2	2561					2
3	LOSONG DATOK AMAR	1345	1311	33	1	0			1305	6	33	1	1311				33	1
4	LOSONG PENGLIMA PERANG	2025	2017	1	2	5	3	2	2013	7	1	4	2018	1			1	5
5	LOSONG HAJI MAT SHAFIE	2114	2107	2		5		5	2099	8	2	5	2107				2	5
6	SEBERANG BARUH	1743	1719	19	3	2		2	1717	2	19	5	1719				19	5
7	WAKAF BERUAS	1435	1427	2	2	4	3	1	1429	1	2	3	1428	1	1		2	3
8	MERBAU PATAH	3280	3254	15	3	8	4	4	3252	6	15	7	3255				15	10
9	DURIAN BURUNG	3216	3177	23	9	7	2	5	3174	5	23	14	3178				23	15
10	SUNGAI RENGAS	2894	2885	3	1	5	2	3	2881	6	3	4	2885		1		3	5
11	WAKAF MEMPELAM	3124	3110	2		12	2	10	3109	3	2	10	3111				2	11
12	KUALA BEKAH	2093	2090	2		1		1	2083	7	2	1	2090				2	1
