kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	LUBOK NIBONG	546	59	185		302	301	1	59	301	185	1	59	278		23	185	1
2	PUYUT	2223	14	36		2173	2173		48	2139	36		14	2104		69	36	
3	LIOMATU	2800	6	15		2779	2779		167	2618	15		6	28	3	2748	15	
4	TUTOH	1633	14	24		1595	1595		56	1553	24		14	96	7	1492	24	
5	LONG PELUAN	571	1	1		569	569		22	548	1		1	5		564	1	
6	BARIO	769	7			762	762		19	750			7	18	1	743		
7	PA`LUNGAN	202	1			201	201		7	195			1	7		194		
8	DANO	57				57	57		3	54				1		56		
9	REMUDU	120				120	120		11	109				5		115		
10	LELLANG	265	1			264	263	1	10	254		1	1	1		262		1
