kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BATU 14 JLN KAKI BUKIT	82	23	45	14	0			23		45	14	23				45	14
2	BATU 15 JLN PDG BESAR	94	51	40	3	0			51		40	3	51				40	3
3	BATU 16 JLN PDG BESAR	517	294	195	23	5	1	4	293	2	195	27	294				195	28
4	BATU 17 JLN PDG BESAR	199	126	70	2	1	1		126	1	70	2	126				70	3
5	RPA KAKI BUKIT II	352	69	265	15	3	1	2	69	1	265	17	69				265	18
6	KAMPONG CHANTEK	59	57	1		1		1	57		1	1	57				1	1
7	KAMPUNG AMAN	77	65	8	3	1	1		66		8	3	66				8	3
8	KUARTERS STESYEN PENYELIDIKAN FRIM	1	1			0			1				1					
