kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
41	KEPALA BATAS	60523	47430	10294	2604	195	104	91	47429	105	10294	2695	47444	17	10	1	10294	2757
42	TASEK GELUGOR	60850	47469	8940	4120	321	196	125	47483	182	8940	4245	47481	53	32	3	8940	4341
43	BAGAN	71583	9289	51031	11012	251	83	168	9287	85	51031	11180	9293	14	3	2	51031	11240
44	PERMATANG PAUH	81789	58471	17493	5343	482	174	308	58523	122	17493	5651	58486	25	17	2	17493	5766
45	BUKIT MERTAJAM	88998	17064	62624	8969	340	114	226	17089	89	62624	9195	17076	14	12	2	62624	9269
46	BATU KAWAN	65394	13551	36533	15013	295	112	183	13560	103	36533	15196	13556	23	8	3	36533	15269
47	NIBONG TEBAL	73383	34800	25699	12584	299	120	179	34824	96	25699	12763	34813	13	9	2	25699	12846
48	BUKIT BENDERA	75069	10702	54640	8770	957	172	785	10703	171	54640	9555	10708	29	27	7	54640	9658
49	TANJONG	49586	2524	41731	5126	205	58	147	2519	63	41731	5273	2530	8	6		41731	5311
50	JELUTONG	76991	15527	50197	10845	419	125	294	15502	150	50197	11139	15529	17	11	5	50197	11229
51	BUKIT GELUGOR	91595	12482	67641	10957	515	121	394	12516	87	67641	11351	12490	14	16	8	67641	11426
52	BAYAN BARU	90780	34938	44030	10908	904	438	466	35068	308	44030	11374	34956	101	57	8	44030	11628
53	BALIK PULAU	59086	38073	17812	2823	378	206	172	38137	142	17812	2995	38089	36	11	4	17812	3134
