kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	UMA SEHAN LONG AMANG	91		1		90	90		1	89	1			9		81	1	
2	UMA PUNAN BAN LONG BAH	353	6			347	347		17	336			6	32		315		
3	UMA PUNAN BIAUE	206	3	4		199	199		22	180	4		3	73		126	4	
4	UMA PUNAN TEMPELING LONG SAMA	177	1	1		175	175		7	169	1		1	10		165	1	
5	UMA SEKAPAN LONG DUNGAN	262				262	262		25	237				14	1	247		
6	UMA SEKAPAN PI'IT	158	5	1		152	152		15	142	1		5	21		131	1	
7	UMA BALO KESING LONG AMO	94	1	2		91	91		2	90	2		1	6	1	84	2	
8	UMA TANJONG	84	4			80	80		4	80			4	15	2	63		
9	LONG BON	4				4	4			4				3		1		
10	RH SEKAPAN PANJANG	266				266	266		6	260				16	2	248		
11	UMA TEVO LONG BUYUN	71		2		69	69		1	68	2			4		65	2	
