kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JLN JASIN BARAT	269	177	62	25	5	1	4	177	1	62	29	177	1			62	29
2	RUM PEKERJA JKR	2	1		1	0			1			1	1					1
3	PEKAN MERLIMAU BARAT	173	46	122	5	0			46		122	5	46				122	5
4	SLK PENGKALAN SAMAK	265	261	2		2		2	261		2	2	261				2	2
5	SLK PERMATANG BUKIT	354	321	32	1	0			321		32	1	321				32	1
6	JLN PERMATANG SERAI BARAT	121	98	23		0			98		23		98				23	
7	TMN MERLIMAU BARU	876	399	383	79	15	2	13	398	3	383	92	399		1		383	93
8	TMN DERETAN	35	27	7		1	1		27	1	7		27				7	1
9	SLK KILANG BERAPI MERLIMAU BARAT	285	271	10	1	3		3	271		10	4	271				10	4
10	TMN MERLIMAU INDAH	51	3	42	4	2	1	1	3	1	42	5	3				42	6
11	TMN DEBUNGA MERLIMAU	271	159	94	15	3	1	2	159	1	94	17	159		1		94	17
12	TMN MERLIMAU MAJU	1			1	0						1						1
13	TMN MERLIMAU UTAMA	8	8			0			8				8					
