kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG KENANGAN DATO ABDULLAH JAAFAR	102	89	11	2	0			88	1	11	2	89				11	2
2	TANAH PERKUBURAN ISLAM J. BAKRI	2	2			0			2				2					
3	KG KENANGAN DATO ABDULLAH JAFAR	645	454	165	21	5	4	1	456	2	165	22	454	2	1		165	23
4	KG BARU	311	170	139	1	1	1		170	1	139	1	170				139	2
5	TMN BAKRI INDAH	218	113	90	12	3	3		115	1	90	12	113				90	15
6	PEKAN BKT BAKRI	550	11	532	7	0			10	1	532	7	11				532	7
7	JLN BAKRI N/VILLAGE	407	6	401		0			6		401		6				401	
8	JLN. BALAIRAYA	192	1	191		0			1		191		1				191	
9	JLN. PAYA	443	19	424		0			19		424		19				424	
10	JLN. KEBAJIKAN	244	1	243		0				1	243		1				243	
11	JLN. TENGAH	145	2	141	2	0			2		141	2	2				141	2
12	JLN. UTARA	296	1	295		0			1		295		1				295	
13	JLN. AMAN	158		158		0					158						158	
14	JLN. BARAT	124		118	6	0					118	6					118	6
15	JLN SEMBAHYANG	93		93		0					93						93	
16	JLN LINTAS	55		55		0					55						55	
17	TMN BAKRI MULIA	174	61	99	14	0			61		99	14	61				99	14
18	TMN SUKARAMAI	105	7	84	14	0			7		84	14	7				84	14
19	TAMAN PAHLAWAN	4	2	2		0			2		2		2				2	
