kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PJU 10 DAMANSARA DAMAI	381	174	139	58	10	5	5	176	3	139	63	174				139	68
2	SAUJANA DAMANSARA PJU 10	627	176	384	54	13	7	6	182	1	384	60	177				384	66
3	BLOK PERMAI	550	187	222	124	17	9	8	193	3	222	132	187				222	141
4	BLOK IMPIAN	258	148	48	52	10	5	5	152	1	48	57	148	1			48	61
5	BLOK HARMONI	767	396	123	226	22	10	12	404	2	123	238	397	2			123	245
6	BLOK BAYU	193	65	97	26	5	2	3	66	1	97	29	65	1			97	30
7	BLOK SURIA	80	53	14	12	1		1	53		14	13	53				14	13
701	BALAI POLIS DAMANSARA DAMAI	2	2			0			2				2					
