kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PEKAN TANGKAK	212	26	179	7	0			25	1	179	7	26				179	7
2	JLN MANJA	248	12	234	2	0			12		234	2	12				234	2
3	JLN. PAYAMAS	526	57	438	30	1		1	57		438	31	57				438	31
4	PDG LALANG	251	150	93	7	1	1		151		93	7	150	1			93	7
5	LG 4 JLN PAYAMAS	16	1	15		0			1		15		1				15	
6	JLN. KAMPONG	41	1	39	1	0			1		39	1	1				39	1
7	KWSN BOMBA	43	41	2		0			41		2		41				2	
8	JLN HOSPITAL	205	42	136	26	1		1	42		136	27	42				136	27
9	LORONG 1	27		27		0					27						27	
10	LORONG 2	20		19	1	0					19	1					19	1
11	JLN AH JIN	13		13		0					13						13	
12	LORONG 3	6	1	5		0			1		5		1				5	
13	JLN AB GHANI	29		22	7	0					22	7					22	7
14	JLN MENTOL	6		6		0					6						6	
15	TMN GEMBIRA	60	1	46	11	2		2	1		46	13	1				46	13
16	TMN BINTANG	22	2	20		0			2		20		2				20	
17	JLN PAYAMAS	350	46	276	28	0			46		276	28	46				276	28
18	JLN HASSAN	151	54	91	6	0			54		91	6	54				91	6
19	JLN PAYAMAS	21	8	11	2	0			8		11	2	8				11	2
20	TAMAN DELIMA	2		2		0					2						2	
801	PENGUNDI TIDAK HADIR	4		4		0					4						4	
