kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG SUNGEI MELAYU	637	629	3	1	4	1	3	626	4	3	4	629				3	5
2	JLN AMBANG 4, HORIZON HILLS	86	6	73	6	1		1	6		73	7	6				73	7
3	JLN PINGGIRAN 2/5, HORIZON HILLS	82	12	61	7	2		2	12		61	9	12				61	9
4	JLN HIJAUAN 5/2, HORIZON HILLS	24	1	21		2	1	1	1	1	21	1	1				21	2
5	JALAN SAUJANA 1-4, HORIZON HILLS	11	1	9		1		1	1		9	1	1				9	1
