kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BANDAR TENGGARA UTARA	3229	3073	18	101	37	11	26	3078	6	18	127	3076	2	2		18	131
2	FELDA PENGELI TIMOR	2617	2598		8	11	3	8	2601			16	2598					19
3	SUNGAI SIBOL	2193	2142	6	30	15	14	1	2149	7	6	31	2142	1			6	44
4	LINGGIU	2430	1944	254	134	98	91	7	1967	68	254	141	1944	1			254	231
5	ULU SUNGAI JOHOR	1248	1021	16	32	179	154	25	1060	115	16	57	1021		1		16	210
6	PELEPAH VALLEY	699	537	71	68	23	1	22	536	2	71	90	537				71	91
7	BUKIT LINTANG	1089	1041	10	7	31	3	28	1042	2	10	35	1041		3		10	35
8	KAMPONG LUKUT	861	830	7	4	20	1	19	827	4	7	23	830		1		7	23
9	KOTA TINGGI UTARA	891	636	118	123	14	2	12	637	1	118	135	636				118	137
10	BANDAR TENGGARA SELATAN	2148	2032	6	90	20	9	11	2038	3	6	101	2034	1	1		6	106
11	KAMPONG KELANTAN	1779	1024	631	105	19	6	13	1025	5	631	118	1024	3			631	121
12	KOTA JAYA UTARA	2975	1269	1341	326	38	6	32	1272	3	1341	358	1270		2		1341	361
13	KOTA JAYA SELATAN	3592	1788	1199	505	100	9	91	1790	7	1199	596	1789	3	1	1	1199	599
