kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	LOW ROAD	22	5	15	2	0			4	1	15	2	5				15	2
2	JLN DATO SAGOR	387	170	137	74	6	2	4	172		137	78	170				137	80
3	TAMAN SURIA	55	8	44	3	0			8		44	3	8				44	3
4	LABOURERS LINES	21	12		9	0			12			9	12					9
5	LOW ROAD	329	60	204	60	5		5	58	2	204	65	60				204	65
6	TAIPING ROAD	116	27	59	29	1		1	27		59	30	27				59	30
7	TAMAN BATU MAS	46	2	32	11	1		1	2		32	12	2				32	12
8	TAMAN LOW	8		7	1	0					7	1					7	1
9	TMN MUTIARA	3		1	2	0					1	2					1	2
10	TALANG HILIR	81	72		8	1		1	72			9	72					9
