kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	TANJUNG ARU	1337	261	10	4	1062	1000	62	1216	45	10	66	262	12		1	10	1052
2	MUMIANG	471	60	14	1	396	369	27	411	18	14	28	60				14	397
3	LUBUKAN	763	76	1	2	684	657	27	696	37	1	29	76		1		1	685
4	SUAN LAMBA	1781	376	5	1	1399	1338	61	1591	123	5	62	377	18			5	1381
5	BATU PUTEH	1753	471	11	5	1266	1206	60	1497	180	11	65	471	10		2	11	1259
6	PARIS	2065	1375	27		663	568	95	1819	124	27	95	1376	4	1	11	27	646
7	BILIT	404	39	2		363	344	19	343	40	2	19	39	1			2	362
8	SUKAU	1044	246	9		789	756	33	872	130	9	33	246	9		1	9	779
9	ABAI	269	33			236	229	7	245	17		7	33					236
10	TUNDUN BOHANGIN	273	38	3	1	231	203	28	225	16	3	29	38				3	232
11	LITANG	695	138	14		543	513	30	594	57	14	30	138	3		1	14	539
