kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
167	KUDAT	52251	3111	4939	88	44113	37282	6831	20912	19481	4939	6919	3134	109	19	14	4939	44036
168	KOTA MARUDU	47007	1690	1084	40	44193	43611	582	10426	34875	1084	622	1702	91	14	15	1084	44101
169	KOTA BELUD	57919	2024	809	112	54972	53805	1167	31464	24365	809	1279	2046	99	18	20	809	54925
170	TUARAN	54400	2573	2911	149	48766	47682	1084	24835	25420	2911	1233	2593	152	18	28	2911	48697
171	SEPANGGAR	62415	9737	12279	369	40028	36191	3837	30494	15434	12279	4206	9787	313	93	46	12279	39895
172	KOTA KINABALU	56220	2859	35795	538	17027	14965	2062	10576	7248	35795	2600	2912	149	41	36	35795	17286
173	PUTATAN	41312	8811	6634	336	25531	22793	2738	25734	5870	6634	3074	8849	272	85	31	6634	25441
174	PENAMPANG	53131	2628	18000	420	32083	31192	891	6204	27616	18000	1311	2664	236	70	61	18000	32100
175	PAPAR	43586	4168	3450	185	35783	34060	1723	26564	11664	3450	1908	4228	175	39	37	3450	35657
176	KIMANIS	29618	3033	1124	59	25401	24628	773	18558	9103	1124	832	3051	113	8	18	1124	25303
177	BEAUFORT	33342	2495	2271	117	28459	27768	691	21288	8975	2271	808	2526	138	18	48	2271	28341
178	SIPITANG	31882	2865	1314	56	27647	27062	585	23627	6300	1314	641	2890	316	16	223	1314	27123
179	RANAU	43706	1265	779	40	41622	41283	339	19554	22994	779	379	1283	120	3	32	779	41489
180	KENINGAU	51177	2965	4606	112	43492	42524	968	13541	31948	4606	1080	2977	261	34	56	4606	43241
181	TENOM	29182	2090	3079	32	23981	23486	495	5980	19595	3079	528	2097	91	16	33	3079	23866
182	PENSIANGAN	31377	820	420	22	30115	29875	240	6029	24666	420	262	822	79	4	23	420	30029
183	BELURAN	28509	2248	287	43	25929	24965	964	13268	13945	287	1007	2257	408	16	6	287	25533
184	LIBARAN	47914	13630	8230	138	25915	22131	3784	32765	2996	8230	3922	13689	337	53	33	8230	25571
185	BATU SAPI	32574	5479	10058	103	16933	15312	1621	19348	1443	10058	1724	5523	216	52	20	10058	16704
186	SANDAKAN	39777	5470	20159	253	13893	12076	1817	15662	1884	20159	2070	5500	221	20	12	20159	13863
187	KINABATANGAN	28730	5007	226	30	23466	22673	793	17458	10222	226	823	5015	304	7	37	226	23140
188	SILAM	60942	17238	6753	288	36662	33028	3634	45115	5151	6753	3922	17291	600	64	40	6753	36193
189	SEMPORNA	48248	4436	860	70	42875	41740	1135	42640	3536	860	1205	4465	128	33	4	860	42751
190	TAWAU	59919	19756	20732	220	19207	16037	3170	33403	2390	20732	3390	19781	582	45	52	20732	18723
191	KALABAKAN	52199	26488	4671	214	20824	17374	3450	40849	3013	4671	3664	26530	1046	46	53	4671	19851
