kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PEKAN CHEMOR	1444	636	539	241	28	2	26	638		539	267	636	1	1		539	267
2	CHEMOR INDAH	628	17	571	26	14		14	17		571	40	17				571	40
3	KUALA KUANG	6115	1080	4401	586	48	10	38	1084	6	4401	624	1080	2		1	4401	631
4	KELABANG	8238	4998	1475	1700	65	26	39	5013	11	1475	1739	5002	3	2	1	1475	1755
5	KAMPONG CHEPOR DALAM	5325	3787	736	785	17	8	9	3790	5	736	794	3788		2		736	799
6	KAMPONG ULU CHEPOR	2181	2006	11	149	15	5	10	2008	3	11	159	2008				11	162
7	MERU RAYA	1470	1117	79	262	12	5	7	1122		79	269	1117	1			79	273
8	MERU	4921	4082	484	328	27	7	20	4082	7	484	348	4082	3			484	352
9	TAMAN JATI	5112	3926	569	597	20	9	11	3932	3	569	608	3927	3	1		569	612
10	KAMPONG SUNGAI KATI	4718	4026	89	585	18	6	12	4025	7	89	597	4026	2	1	1	89	599
11	KAMPONG DATOK AHMAD SAID TAMBAHAN 2 SELATAN	676	662	3	6	5	1	4	662	1	3	10	662		1		3	10
12	KAMPONG DATOK AHMAD SAID TAMBAHAN 2 TENGAH	2935	2574	29	305	27	7	20	2579	2	29	325	2575	1	2		29	328
13	TUN TERANG	2199	2150	5	29	15	3	12	2151	2	5	41	2151		1		5	42
14	KAMPONG SUNGAI TAPAH	3856	3737	7	81	31	4	27	3733	8	7	108	3738			1	7	110
15	KAMPONG SEBERANG MANJOI	2744	2671	11	33	29	2	27	2668	5	11	60	2671				11	62
16	KAMPONG TENGKU HUSSEIN	2438	2378	5	30	25	5	20	2376	7	5	50	2378	1			5	54
17	TAMAN KELEDANG JAYA	1542	1479	20	30	13	2	11	1479	2	20	41	1479			1	20	42
18	GERMUDA	1275	606	318	338	13	3	10	609		318	348	608				318	349
