kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PT KEDONDONG DARAT, PT JAWA	40	32	8		0			32		8		32				8	
2	PANDAN SARI	59	50	8	1	0			50		8	1	50				8	1
3	PT BULAT	258	208	48	1	1		1	207	1	48	2	208				48	2
4	PT KEDONDONG	292	194	95		3	1	2	195		95	2	194				95	3
5	PT PECHAH	520	401	116		3	1	2	399	3	116	2	401				116	3
6	PT PECHAH DARAT	86	83	2		1		1	83		2	1	83				2	1
