kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
4	LANGKAWI	42697	38472	2783	1061	380	211	169	38266	417	2783	1230	38495	45	13	5	2783	1355
5	JERLUN	54132	49339	3732	58	1003	125	878	49261	203	3732	936	49346	10	6		3732	1038
6	KUBANG PASU	73881	63810	6308	2584	1179	382	797	63815	377	6308	3381	63833	69	47	4	6308	3620
7	PADANG TERAP	46644	42948	641	80	2975	194	2781	42888	254	641	2861	42955	3	7	1	641	3037
8	POKOK SENA	86892	70659	13404	2194	633	215	418	70430	444	13404	2612	70675	44	41	1	13404	2725
9	ALOR SETAR	80272	50939	25418	3496	418	125	293	50851	213	25418	3789	50957	15	18		25418	3863
10	KUALA KEDAH	97753	76448	19774	1136	395	96	299	76305	239	19774	1435	76468	14	7		19774	1490
11	PENDANG	74867	66417	3824	411	4213	628	3585	66330	715	3824	3996	66422	13	5		3824	4601
12	JERAI	79976	64025	10848	4805	298	92	206	63971	146	10848	5011	64041	15	5	2	10848	5065
13	SIK	50385	46843	763	83	2696	299	2397	46770	372	763	2480	46849	6	7		763	2760
14	MERBOK	87782	59987	13215	13586	994	572	422	59944	615	13215	14008	60025	199	121	7	13215	14215
15	SUNGAI PETANI	112577	68067	30214	13648	648	168	480	68037	198	30214	14128	68092	27	10	4	30214	14230
16	BALING	107213	95193	4673	5559	1788	499	1289	95172	520	4673	6848	95209	12	15	3	4673	7301
17	PADANG SERAI	84834	49909	16790	17731	404	112	292	49911	110	16790	18023	49923	20	13	4	16790	18084
18	KULIM-BANDAR BAHARU	66587	45948	11743	8665	230	121	109	45905	164	11743	8774	45973	21	7	1	11743	8841
