kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	LORONG MELUR	37	1	36		0			1		36		1				36	
2	LORONG MELUR 2	25		24	1	0					24	1					24	1
3	LORONG MELUR 4	33		31	2	0					31	2					31	2
4	MEDAN MELUR SELATAN	62		62		0					62						62	
5	GERBANG MELUR	18		17	1	0					17	1					17	1
6	TINGKAT MELUR 1	69		63	6	0					63	6					63	6
7	MEDAN MELUR UTARA	62		61		1		1			61	1					61	1
8	JALAN RAJA UDA	539		508	30	1		1			508	31					508	31
9	JALAN MELATI	69		65	4	0					65	4					65	4
10	LORONG MELUR	68	3	61	4	0			3		61	4	3				61	4
11	TINGKAT MELUR 1	102		91	11	0					91	11					91	11
12	TINGKAT MELUR 7	172		160	12	0					160	12					160	12
13	JALAN MELUR	147	9	132	6	0			9		132	6	9				132	6
14	LORONG MELUR 2	31		29	2	0					29	2					29	2
15	LORONG MELUR 4	45		43	1	1		1			43	2					43	2
16	MEDAN MELUR SELATAN	74		74		0					74						74	
17	GERBANG MELUR	32		30	2	0					30	2					30	2
18	TINGKAT MELUR 3	125		111	12	2		2			111	14					111	14
19	MEDAN MELUR UTARA	104		100	4	0					100	4					100	4
20	LINTANG MELUR	26		26		0					26						26	
21	LORONG MELUR 14	92	4	71	17	0			4		71	17	4				71	17
22	LORONG MELUR 16	111	8	98	3	2	1	1	8	1	98	4	8				98	5
23	LORONG MELUR 6	78		71	1	6		6			71	7					71	7
24	LORONG MELUR 12	31		25	6	0					25	6					25	6
25	LORONG MELUR 7	3	1	2		0			1		2		1				2	
26	LORONG MELUR 8	72	1	68	3	0			1		68	3	1				68	3
27	LORONG MELUR 10	28		25	3	0					25	3					25	3
28	TINGKAT MELUR 5	48	10	35	3	0			10		35	3	10				35	3
29	LBH MELUR	9		9		0					9						9	
30	JLN BUNGA RAYA MERAH	10	1	9		0			1		9		1				9	
31	PANGSAPURI SERI MELUR	21	1	19	1	0			1		19	1	1				19	1
801	PENGUNDI TIDAK HADIR	2		2		0					2						2	
