kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	RUSILA	3704	3661	29	6	8	4	4	3661	4	29	10	3661	1			29	13
2	MEDAN JAYA	1829	1820		1	8	2	6	1821	1		7	1820					9
3	SENTUL PATAH	1555	1552		1	2	1	1	1553			2	1553					2
4	KIJING	4067	4055	3	3	6	5	1	4051	9	3	4	4056	1			3	7
5	BANDAR MARANG	2321	2268	44	1	8	2	6	2266	4	44	7	2268				44	9
6	SEBERANG MARANG	2732	2724	3		5	3	2	2724	3	3	2	2725				3	4
7	BUKIT GASING	2468	2450	8	4	6	1	5	2448	3	8	9	2450	1			8	9
8	BATANGAN	903	902			1		1	902			1	902					1
9	RU MUDA	2542	2528	2	11	1	1		2525	4	2	11	2528			1	2	11
10	PULAU KERENGGA	2464	2454	3		7	5	2	2458	1	3	2	2454	1			3	6
11	KELULUT	1414	1371	2	1	40		40	1366	5	2	41	1371				2	41
