kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BDR 13 MELATI	106	95		2	9	1	8	96			10	95					11
2	KG BUKIT SEROK	551	30	7		514	511	3	130	411	7	3	30	1	2		7	511
3	LDG A C E	6	1	3	2	0			1		3	2	1				3	2
4	KG KEMULING	2				2	2			2								2
5	KG GAMBIR	23		1		22	22		3	19	1						1	22
6	LDG DAWN	9	6			3	2	1	6	2		1	6					3
7	LDG LKPP NUKLIAS 2	1	1			0			1				1					
8	LDG PEGAWAI	38	36	2		0			36		2		36				2	
9	LDG UMAC	18	18			0			18				18					
10	KG BANAI	20	2			18	18		1	19			2					18
11	KOTA SHAH BANDAR	137	124		4	9		9	123	1		13	124					13
12	BEREK POLIS MELATI	2	2			0			2				2					
13	RUMAH KAKITANGAN KILANG KOSFARM	7	3		4	0			3			4	3					4
14	LADANG KOSMA	16	15			1		1	15			1	15					1
