kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PANTAI BATU BURUK	1166	1074	76	9	7		7	1072	2	76	16	1074				76	16
2	NIBUNG	2659	2631	13	10	5	2	3	2631	2	13	13	2632	1			13	13
3	GONG TOK NASEK	4147	4142	2	1	2	1	1	4139	4	2	2	4143				2	2
4	BUKIT DEPU	2479	2395	69	13	2		2	2392	3	69	15	2395				69	15
5	KUALA IBAI	2528	2456	36	6	30		30	2455	1	36	36	2456				36	36
6	CHENDERING PANTAI	3999	3871	105	14	9	3	6	3866	8	105	20	3872				105	22
7	CHENDERING	2788	2784		2	2		2	2779	5		4	2784					4
8	TAMAN PERMINT JAYA	2645	2537	97	4	7	2	5	2538	1	97	9	2537	1			97	10
9	MENGABANG TENGAH	2328	2315	2	3	8	2	6	2316	1	2	9	2315				2	11
10	KOLAM	1304	1269	4	1	30	6	24	1272	3	4	25	1270			1	4	29
11	KENANGA	3599	3508	49	27	15	3	12	3505	6	49	39	3508				49	42
12	TOK ADIS	3072	2916	129	11	16	7	9	2917	6	129	20	2918	1	1		129	23
